event_id,date,hour,lat,lon,area_ha,y_gt10ha,y_gt100ha,comuna,region,temporada,split
1349,2014-12-06,20,-35.43528,-71.64361,0.1,0,0,Talca,Maule,2014 al 2015,train
1350,2014-12-07,14,-35.49028,-71.67694,0.3,0,0,Maule,Maule,2014 al 2015,train
1351,2014-12-07,17,-35.4225,-71.67583,0.4,0,0,Talca,Maule,2014 al 2015,train
1352,2014-12-08,14,-35.42111,-71.76056,1.0,0,0,Pencahue,Maule,2014 al 2015,train
1353,2014-12-09,11,-35.51833,-71.72306,8.5,0,0,Maule,Maule,2014 al 2015,train
1354,2014-12-09,16,-35.15694,-71.56806,78.5,1,0,Sagrada Familia,Maule,2014 al 2015,train
1355,2014-12-09,17,-34.9,-71.3,3.5,0,0,Rauco,Maule,2014 al 2015,train
1356,2014-12-09,17,-35.40889,-71.79833,0.5,0,0,Pencahue,Maule,2014 al 2015,train
1357,2014-12-09,22,-35.81861,-72.51667,0.5,0,0,Chanco,Maule,2014 al 2015,train
1358,2014-12-11,16,-35.64639,-71.54056,0.3,0,0,Yerbas Buenas,Maule,2014 al 2015,train
1359,2014-12-11,21,-35.62111,-71.77444,4.8,0,0,San Javier,Maule,2014 al 2015,train
1360,2014-12-12,13,-35.13583,-71.19667,0.2,0,0,Molina,Maule,2014 al 2015,train
1361,2014-12-12,14,-35.68667,-71.62194,0.05,0,0,Villa Alegre,Maule,2014 al 2015,train
1362,2014-12-12,14,-35.095,-71.62556,0.2,0,0,Sagrada Familia,Maule,2014 al 2015,train
1363,2014-12-12,15,-35.94278,-72.33194,1.5,0,0,Cauquenes,Maule,2014 al 2015,train
1364,2014-12-12,15,-35.91306,-72.66694,0.03,0,0,Pelluhue,Maule,2014 al 2015,train
1365,2014-12-12,17,-35.66056,-71.56917,1.0,0,0,Yerbas Buenas,Maule,2014 al 2015,train
1366,2014-12-13,10,-35.62472,-71.755,0.01,0,0,Villa Alegre,Maule,2014 al 2015,train
1367,2014-12-13,10,-35.44194,-71.6625,0.3,0,0,Talca,Maule,2014 al 2015,train
1368,2014-12-13,14,-35.45,-71.66611,0.3,0,0,Talca,Maule,2014 al 2015,train
1369,2014-12-13,15,-35.45,-71.66583,0.2,0,0,Talca,Maule,2014 al 2015,train
1370,2014-12-13,20,-35.44056,-71.65028,0.3,0,0,Talca,Maule,2014 al 2015,train
1371,2014-12-14,16,-35.13611,-71.19583,0.04,0,0,Molina,Maule,2014 al 2015,train
1372,2014-12-14,20,-35.50806,-71.51944,1.0,0,0,San Clemente,Maule,2014 al 2015,train
1373,2014-12-14,20,-35.48139,-71.5525,0.1,0,0,Talca,Maule,2014 al 2015,train
1374,2014-12-15,12,-35.25556,-71.47972,2.0,0,0,San Rafael,Maule,2014 al 2015,train
1375,2014-12-15,15,-35.63444,-71.40194,1.7,0,0,Colbún,Maule,2014 al 2015,train
1376,2014-12-15,18,-35.91,-72.37444,0.15,0,0,Cauquenes,Maule,2014 al 2015,train
1377,2014-12-15,17,-36.12667,-71.37917,34.0,1,0,Linares,Maule,2014 al 2015,train
1378,2014-12-15,21,-35.25861,-71.46972,0.5,0,0,San Rafael,Maule,2014 al 2015,train
1379,2014-12-16,16,-35.14028,-71.36083,7.0,0,0,Molina,Maule,2014 al 2015,train
1380,2014-12-16,15,-35.43194,-71.44111,1.5,0,0,San Clemente,Maule,2014 al 2015,train
1381,2014-12-16,17,-35.91056,-71.49278,1.5,0,0,Linares,Maule,2014 al 2015,train
1382,2014-12-16,20,-36.185,-71.78583,13.0,1,0,Parral,Maule,2014 al 2015,train
1383,2014-12-17,11,-35.62917,-71.52861,2.0,0,0,Yerbas Buenas,Maule,2014 al 2015,train
1384,2014-12-17,16,-35.52833,-71.68806,1.0,0,0,Maule,Maule,2014 al 2015,train
1385,2014-12-17,15,-35.42083,-71.61889,1.2,0,0,Talca,Maule,2014 al 2015,train
1386,2014-12-17,15,-35.24861,-71.39917,3.0,0,0,Río Claro,Maule,2014 al 2015,train
1387,2014-12-17,16,-35.935,-72.34083,0.01,0,0,Cauquenes,Maule,2014 al 2015,train
1388,2014-12-17,19,-35.44417,-71.64194,0.3,0,0,Talca,Maule,2014 al 2015,train
1389,2014-12-18,13,-35.52806,-71.68806,0.6,0,0,Maule,Maule,2014 al 2015,train
1390,2014-12-18,14,-35.34694,-71.77306,0.8,0,0,Pencahue,Maule,2014 al 2015,train
1391,2014-12-18,15,-35.935,-72.3525,0.3,0,0,Cauquenes,Maule,2014 al 2015,train
1392,2014-12-18,14,-34.92444,-71.57694,4.5,0,0,Rauco,Maule,2014 al 2015,train
1393,2014-12-19,15,-35.61972,-71.75056,0.1,0,0,San Javier,Maule,2014 al 2015,train
1394,2014-12-19,17,-35.73,-71.71139,3.0,0,0,Villa Alegre,Maule,2014 al 2015,train
1395,2014-12-19,19,-35.45917,-71.73139,6.0,0,0,Maule,Maule,2014 al 2015,train
1396,2014-12-21,16,-34.84889,-71.27861,1.0,0,0,Teno,Maule,2014 al 2015,train
1397,2014-12-22,10,-35.22806,-71.46194,0.4,0,0,San Rafael,Maule,2014 al 2015,train
1398,2014-12-22,13,-35.73194,-71.8575,7.7,0,0,San Javier,Maule,2014 al 2015,train
1399,2014-12-22,15,-34.93667,-71.20389,0.5,0,0,Curicó,Maule,2014 al 2015,train
1400,2014-12-22,15,-34.84778,-71.27833,0.5,0,0,Teno,Maule,2014 al 2015,train
1401,2014-12-23,12,-35.13889,-71.56194,20.0,1,0,Sagrada Familia,Maule,2014 al 2015,train
1402,2014-12-23,13,-36.06944,-72.33444,9.0,0,0,Cauquenes,Maule,2014 al 2015,train
